url,zimu_num,shuzi,zifu_num,url_T_zifu_num,inner,out,sum,bili,req_type_num,hanjian_host_num,iframe_num,eval_num,location_num,setTimeout_num,setInterval_num,scriptObjectsrc_num,scriptObjectsetAttribute_num,scriptObjectinnerHTML_num,windowopen_num
http://www.2biking.com,16,1,5,0,1,201,202,0.00495,7,3,-1,-1,-1,-1,-1,-1,-1,-1,-1
http://www.it-mall.eu,15,0,6,1,1,201,202,0.00495,7,3,-1,-1,-1,-1,-1,-1,-1,-1,-1
http://www.tbde.com.vn,16,0,6,0,1,201,202,0.00495,7,3,2,0,0,0,0,0,0,0,0
http://www.deco-dessert.com,21,0,6,1,1,201,202,0.00495,7,3,0,0,1,4,0,0,0,0,0
http://www.aztechnologies.co.uk,25,0,6,0,1,201,202,0.00495,7,3,0,0,0,0,0,0,0,0,0
http://www.refindsexy.com,20,0,5,0,1,201,202,0.00495,7,3,-1,-1,-1,-1,-1,-1,-1,-1,-1
http://www.pasticceriabonci.it,25,0,5,0,0,0,0,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
http://www.eddenya.com,17,0,5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
http://www.backup.terra5llc.com,24,1,6,0,0,0,0,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
http://www.naairah.com,17,0,5,0,119,2,121,0.983471,3,2,-1,-1,-1,-1,-1,-1,-1,-1,-1
http://www.marialorena.com.br,23,0,6,0,79,32,111,0.711712,10,3,-1,-1,-1,-1,-1,-1,-1,-1,-1
http://www.zt.tim-taxi.com,19,0,7,1,58,1,59,0.983050847,3,2,-1,-1,-1,-1,-1,-1,-1,-1,-1
http://www.wechselkur.de,19,0,5,0,17,3,20,0.85,3,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
http://www.sporttraum.de,19,0,5,0,8,1,9,0.888888889,2,1,1,0,0,0,0,0,0,0,0
http://www.vartashakti.com,21,0,5,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0
http://www.vital4age.eu,17,1,5,0,15,1,16,0.9375,3,2,-1,-1,-1,-1,-1,-1,-1,-1,-1
http://www.creditwallet.net,22,0,5,0,12,1,13,0.923076923,2,1,2,0,2,1,0,0,0,0,0
http://www.newleaf.org.in,19,0,6,0,0,0,0,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
http://www.demo.essarinfotech.net,27,0,6,0,3,0,3,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
http://www.legendsdtv.com,20,0,5,0,45,0,45,1,2,1,0,0,1,1,0,0,0,0,0
http://www.sribinayakelectricals.com,31,0,5,0,2,0,2,1,1,1,0,0,2,0,0,0,0,0,2
http://www.schuh-zentgraf.de,22,0,6,1,2,0,2,1,1,1,0,0,0,1,0,0,0,0,0
http://www.avto-pobeda.ru,19,0,6,1,24,1,25,0.96,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
http://www.ohelloguyqq.com,21,0,5,0,0,7,7,0,5,4,0,0,0,0,0,0,0,0,0
http://www.hochzeit.at,17,0,5,0,0,37,37,0,12,3,1,0,4,3,0,0,0,0,0
http://www.marketing-material.ieiworld.com,35,0,7,1,14,47,61,0.229508197,12,3,-1,-1,-1,-1,-1,-1,-1,-1,-1
http://www.saintlouis-viry.fr,23,0,6,1,29,5,34,0.852941176,3,1,0,0,0,0,0,0,0,0,0
http://www.ozono.org.es,17,0,6,0,15,19,34,0.441176471,6,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
http://www.ministerepuissancejesus.com,33,0,5,0,0,0,0,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
http://www.lahmar.choukri.perso.neuf.fr,31,0,8,0,0,0,0,0,3,2,0,0,0,0,1,0,0,0,0
http://www.lhs-mhs.org,16,0,6,1,0,0,0,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
http://www.reclamus.com,18,0,5,0,15,68,83,0.180722892,12,2,0,0,2,0,0,0,0,0,0
http://www.stopmeagency.free.fr,25,0,6,0,0,0,0,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
http://www.izzy-cars.nl,17,0,6,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
http://www.softworksbd.com,21,0,5,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
http://www.weforwomenmarathon.org,28,0,5,0,0,0,0,0,1,1,1,0,2,0,0,0,0,0,2
http://www.oaspodpaskdjnghzatrffgcasetfrd.cf,39,0,5,0,0,0,0,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
http://www.nevergreen.net,20,0,5,0,0,0,0,0,1,1,3,0,2,0,0,0,0,0,0
http://www.inevo.co.il,16,0,6,0,15,0,15,1,3,2,-1,-1,-1,-1,-1,-1,-1,-1,-1
http://www.viisights.com,19,0,5,0,15,0,15,1,3,2,0,0,11,0,0,0,0,0,0
http://www.gamma01.website,19,2,5,0,29,0,29,1,4,3,-1,-1,-1,-1,-1,-1,-1,-1,-1
http://www.vgp3.vitebsk.by,19,1,6,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
http://www.sitemar.ro,16,0,5,0,8,0,8,1,1,0,0,0,0,0,0,0,0,0,0
http://www.eestiblogid.ee,20,0,5,0,12,219,231,0.051948,40,14,0,1,3,0,0,0,0,0,0
