URL,zimu_num,shuzi,zifu_num,url_T_num,inner,out,sum,bili,req_type_num,hanjian_host_num,iframe_num,eval_num,location_num,setTimeout_num,setInterval_num,scriptObjectsrc_num,scriptObjectsetAttribute_num,scriptObjectinnerHTML_num,windowopen_num
http://www.baidu.com,15,0,5,0,3,11,14,0.214285714,2,0,0,2,6,3,0,0,0,0,0
http://www.qq.com,12,0,5,0,24,65,89,0.269662921,7,1,0,0,1,1,0,0,0,0,0
http://www.tmall.com,15,0,5,0,12,78,90,0.133333333,5,0,1,0,1,0,0,0,0,0,0
http://www.taobao.com,16,0,5,0,5,40,45,0.111111111,3,0,4,0,1,0,0,0,0,0,0
http://www.sohu.com,14,0,5,0,211,387,598,0.352842809,21,4,0,0,1,0,0,0,0,0,1
http://www.jd.com,12,0,5,0,10,35,45,0.222222222,3,0,0,2,8,2,0,0,0,0,3
http://weibo.com,12,0,4,0,2,115,117,0.017094017,10,4,0,0,9,1,0,0,0,0,9
http://www.sina.com.cn,16,0,6,0,136,274,410,0.331707317,25,7,0,0,1,1,0,0,0,0,0
http://www.360.cn,9,3,5,0,3,149,152,0.019736842,4,0,0,0,2,1,1,0,0,0,2
http://www.csdn.net,14,0,5,0,99,57,156,0.634615385,13,7,0,0,0,0,0,0,0,0,0
http://www.alipay.com,16,0,5,0,0,8,8,0,2,1,0,0,5,0,1,0,0,0,1
http://www.bilibili.com,18,0,5,0,56,65,121,0.462809917,2,0,1,0,3,0,0,0,0,0,2
http://www.xinhuanet.com,19,0,5,0,181,139,320,0.565625,8,0,52,1,8,1,0,0,0,0,3
http://www.tianya.cn,15,0,5,0,15,17,32,0.46875,8,2,2,0,3,0,0,0,0,0,1
http://www.soso.com,14,0,5,0,5,0,5,1,2,0,0,0,2,0,0,0,0,0,0
http://www.hao123.com,13,3,5,0,31,181,212,0.146226415,4,0,3,0,19,1,0,0,0,0,4
http://www.so.com,12,0,5,0,3,3,6,0.5,5,2,4,2,13,49,6,0,0,0,1
http://www.babytree.com,18,0,5,0,44,87,131,0.335877863,8,2,26,0,15,0,0,0,0,0,7
http://www.panda.tv,14,0,5,0,26,116,142,0.183098592,5,0,0,0,3,0,0,0,0,0,1
http://www.zhihu.com,15,0,5,0,5,7,12,0.416666667,4,1,0,0,0,0,0,0,0,0,0
http://www.google.cn,15,0,5,0,2,0,2,1,1,0,0,0,9,0,0,0,0,0,9
http://www.iqiyi.com,15,0,5,0,53,90,143,0.370629371,6,0,0,0,3,0,0,0,0,0,1
http://cn.bing.com,13,0,5,0,5,0,5,1,5,2,2,0,13,3,23,0,0,0,3
http://www.zhanqi.tv,15,0,5,0,91,1,92,0.989130435,5,2,0,0,11,0,0,0,0,0,10
http://www.1688.com,10,4,5,0,30,239,269,0.111524164,9,0,0,0,4,0,0,0,0,0,1
http://www.cnblogs.com,17,0,5,0,47,1,48,0.979166667,5,1,0,0,0,0,0,0,0,0,0
http://www.china.com.cn,17,0,6,0,25,212,237,0.105485232,14,3,34,0,2,1,0,0,0,0,2
http://www.caijing.com.cn,19,0,6,0,127,9,136,0.933823529,6,2,4,0,1,0,3,0,0,0,1
http://www.sogou.com,15,0,5,0,28,0,28,1,2,1,0,0,3,0,0,0,0,0,0
http://www.people.com.cn,18,0,6,0,177,22,199,0.889447236,4,0,70,0,0,1,0,0,0,0,0
