2009/06/15_00:00,buffalogoesout.com,66.96.146.201,201.146.96.66.static.eigbox.net.,redirect,-,29873,0,US
2009/06/16_00:00,achren.org,83.245.63.229,http.sodium.lon.periodicnetwork.com.,redirect,-,33970,0,GB
2009/06/16_00:00,associatesexports.com,209.25.133.107,altar14.supremepanel14.com.,redirect,-,11388,0,US
2009/06/18_00:00,antalya.ru/links/,89.111.176.89,fe31-1.hc.ru.,redirect,-,41126,0,RU
2009/06/18_00:00,conds.ru,90.156.201.22,fe.shared.masterhost.ru.,redirect,-,25532,0,RU
2014/04/06_04:49,img001.com/business/qiji.exe,36.250.3.247,-,Trojan,-,4837,0,CN
2009/06/20_00:00,unalbilgisayar.com,84.51.21.163,host-84-51-21-163.teletektelekom.com.,redirect,-,34104,0,TR
2009/06/24_00:00,www.t-sb.net,72.232.219.152,152.219.232.72.static.reverse.ltdomains.com.,redirect,-,22576,0,US
2009/06/25_00:00,hanulsms.com,124.217.216.40,-,redirect,-,38661,0,KR
2009/06/25_00:00,semengineers.com,216.245.193.34,thor.corpservers.net.,redirect,-,46475,0,US
2009/06/25_00:00,srslogisticts.com,64.191.16.37,reseller4.hostingmadeeasy.com.,redirect,-,21788,0,US
2009/06/25_00:00,tendersource.com,75.125.56.218,218.56.125.75.in-addr.ev1.opticaljungle.com.,redirect,-,21844,0,US
2009/06/25_00:00,traff1.com/in.cgi?5,66.232.116.49,-,Trojan,-,29802,0,US
2009/06/25_00:00,web-olymp.ru,81.176.232.104,server4.neoweb.ru.,redirect,-,8342,0,RU
2014/04/06_04:49,oprahsearch.com/scripts/net19.exe,192.249.59.79,-,Trojan,-,3842,0,US
2009/06/28_00:00,somnoy.com,91.197.128.216,h6.data-xata.net.,redirect,-,8870,0,UA
2009/06/29_00:00,nadegda-95.ru,87.242.126.153,ant6.fast.ru.,redirect,-,25532,0,RU
2009/06/29_00:00,romsigmed.ro,86.35.15.214,www4.linux.romtelecom.net.,redirect,-,9050,0,RO
2009/06/29_00:00,spatsz.com,67.210.126.110,orion.lunarpages.com.,redirect,-,15244,0,US
2009/06/29_00:00,svetyivanrilski.com,212.36.9.1,ns5.tophostbg.net.,redirect,-,39388,0,BG
2009/06/29_00:00,titon.info,212.36.9.10,ns1.tophostbg.net.,redirect,-,39388,0,BG
2009/06/29_00:00,tophostbg.net,212.36.9.10,ns1.tophostbg.net.,redirect,-,39388,0,BG
2009/06/29_00:00,vivaweb.org,212.36.9.1,ns5.tophostbg.net.,redirect,-,39388,0,BG
2009/06/29_00:00,vocational-training.us,216.8.179.24,ptr-216-8-179-24.ptr.nextdimensioninc.com.,redirect,-,13727,0,CA
2009/06/29_00:00,warco.pl,81.2.200.162,host-81-2-200-162.alpha.pl.,redirect,-,24806,0,CZ
2009/06/30_00:00,bde.be,194.146.224.100,cluster.sivit.org.,redirect,-,13193,0,FR
2009/06/30_00:00,pwvita.pl,77.55.70.169,acs169.rev.netart.pl.,redirect,-,15967,0,PL
2009/06/30_00:00,roks.ua,80.91.176.135,uahost01.hc.ua.,redirect,-,21219,0,UA
2009/06/30_00:00,skgroup.kiev.ua,80.91.176.135,uahost01.hc.ua.,redirect,-,21219,0,UA
2009/06/30_00:00,tecnocuer.com,190.228.29.81,mx2981.godns.net.,redirect,-,7303,0,AR
2009/06/30_00:00,tk-gregoric.si,91.185.202.90,mail.internetstoritve.com.,redirect,-,41828,0,SI
2009/06/30_00:00,tomalinoalambres.com.ar,190.228.29.81,mx2981.godns.net.,redirect,-,7303,0,AR
2009/06/30_00:00,womenslabour.org,83.142.47.61,www.linux.webserwer.pl.,redirect,-,39168,0,PL
2009/06/30_00:00,wroclawski.com.pl,83.142.47.61,www.linux.webserwer.pl.,redirect,-,39168,0,PL
2009/07/01_00:00,xoomer.alice.it/email02/bom.jpg,62.211.68.12,-,Trojan,-,20580,0,IT
2009/08/05_00:00,update.51edm.net/20090728/01.dll,222.222.204.68,-,Trojan,-,4134,0,CN
2009/08/05_00:00,update.51edm.net/20090728/01.kdg,222.222.204.67,-,Trojan,-,4134,0,CN
2009/08/05_00:00,www.xiruz.kit.net/mola.jpg,201.7.184.2,-,Trojan,-,28604,0,BR
2009/08/12_00:00,wfoto.front.ru/fotos.com,194.186.88.45,ftp.front.ru.,Trojan,-,3216,0,RU
2009/08/12_00:00,ska.energia.cz/download/imer.up,217.31.49.10,kojak.core.ignum.cz.,Trojan,-,29134,0,CZ
2009/08/17_00:00,callingcardsinstantly.com/webalizer/050709wareza/crack=17=keygen=serial.html,216.157.140.193,hsphere.cc.,redirect,-,16557,0,US
2009/08/17_00:00,dawnframing.com/webalizer/050709wareza/crack=17=keygen=serial.html,216.81.64.192,rapidcolo.com.,redirect,-,16557,0,US
2009/08/17_00:00,free-crochet-pattern.com/webalizer/050709wareza/crack=17=keygen=serial.html,216.157.140.192,hsphere.cc.,redirect,-,16557,0,US
2009/08/25_00:00,js.tongji.linezing.com/1189582/tongji.js,119.42.225.167,lvs1.bmvip.cnz.alimama.com.,redirect,-,37963,0,CN
2009/09/05_00:00,adgallery.whitehousedrugpolicy.gov/members/Miley-Cyrus-Nude/default.aspx,198.77.71.192,adgallery.whitehousedrugpolicy.gov.,Trojan,-,3356,0,US
2009/09/11_00:00,www.vvvic.com,118.220.175.24,-,redirect,-,9318,0,KR
2009/09/16_00:00,www.professionalblackbook.com/,96.30.28.181,host.disantolaw.com.,redirect,-,19066,0,US
2009/09/18_00:00,0koryu0.easter.ne.jp,208.71.106.216,super-html-7.fc2.com.,redirect,-,40263,0,US
2009/09/19_00:00,www.whitesports.co.kr,211.202.2.17,web-7.blueweb.co.kr.,redirect,-,9318,0,KR
2009/09/24_00:00,typeofmarijuana.com/,204.93.171.26,web01.snaago.com.,redirect,-,23352,0,US
2009/09/24_00:00,trafficgrowth.com/,204.93.171.26,web01.snaago.com.,redirect,-,23352,0,US
2009/09/24_00:00,thcvaporizer.com/,204.93.171.26,web01.snaago.com.,redirect,-,23352,0,US
2009/09/24_00:00,roorbong.com/,204.93.171.26,web01.snaago.com.,redirect,-,23352,0,US
