URL,zimu_num,shuzi,zifu_num,url_T_num,inner,out,sum,bili,req_type_num,hanjian_host_num
http://www.4399.com,10,4,5,0,17,47,64,0.265625,5,0
http://www.cnki.net,14,0,5,0,54,10,64,0.84375,2,0
http://www.zhibo8.cc,14,1,5,0,11,221,232,0.047413792999999996,6,0
http://www.jmw.com.cn,15,0,6,0,93,60,153,0.607843137,20,7
http://www.51.la,9,2,5,0,30,3,33,0.9090909090000001,4,1
http://www.51cto.com,13,2,5,0,128,21,149,0.859060403,6,2
http://home.firefoxchina.cn,22,0,5,0,50,38,88,0.568181818,8,0
http://weibo.cn,11,0,4,0,0,5,5,0.0,1,0
http://www.52pojie.cn,14,2,5,0,36,25,61,0.590163934,7,2
http://www.chsi.com.cn,16,0,6,0,22,3,25,0.88,6,1
http://www.dangdang.com,18,0,5,0,22,34,56,0.39285714299999996,9,3
http://www.dangdang.com,18,0,5,0,30,46,76,0.39473684200000003,3,0
http://www.ctrip.com,15,0,5,0,1,0,1,1.0,1,1
http://www.w3school.com.cn,19,1,6,0,14,1,15,0.933333333,5,2
http://www.familydoctor.com.cn,24,0,6,0,275,25,300,0.916666667,11,5
http://www.bzw315.com,13,3,5,0,74,5,79,0.936708861,4,0
http://www.autohome.com.cn,20,0,6,0,79,225,304,0.259868421,6,4
http://www.ithome.com,16,0,5,0,62,66,128,0.484375,15,7
http://www.qj.com.cn,14,0,6,0,247,7,254,0.972440945,3,1
http://hlgyl.aa679.cn,13,3,5,0,6,5,11,0.545454545,4,1
http://www.umeng.com,15,0,5,0,8,59,67,0.119402985,6,1
http://www.vmall.com,15,0,5,0,3,53,56,0.053571429000000004,8,2
http://www.pptv.com,14,0,5,0,17,133,150,0.11333333300000001,10,4
http://www.jjwxc.net,15,0,5,0,32,8,40,0.8,5,1
http://nanjing.anjuke.com,20,0,5,0,18,208,226,0.079646018,14,3
http://www.boc.cn,12,0,5,0,72,8,80,0.9,6,3
http://www.it168.com,12,3,5,0,73,7,80,0.9125,8,5
http://sina.cn,10,0,4,0,1,0,1,1.0,2,2
http://www.hexun.com,15,0,5,0,167,15,182,0.917582418,11,7
http://www.xunlei.com,16,0,5,0,23,4,27,0.851851852,4,2
http://www.114la.com,12,3,5,0,114,53,167,0.6826347309999999,8,2
http://shimo.im,11,0,4,0,39,2,41,0.951219512,6,5
http://wenda.so.com,14,0,5,0,1,41,42,0.023809524,8,1
http://www.pc6.com,12,1,5,0,33,24,57,0.578947368,3,0
http://www.dmzj.com,14,0,5,0,3,0,3,1.0,1,0
http://www.sjtu.edu.cn,16,0,6,0,49,0,49,1.0,1,0
http://www.miui.com,14,0,5,0,20,4,24,0.833333333,5,1
http://36kr.com,9,2,4,0,15,38,53,0.28301886800000003,3,1
http://nj.focus.cn,13,0,5,0,23,111,134,0.17164179100000002,8,2
http://www.docin.com,15,0,5,0,6,46,52,0.115384615,4,1
http://www.cnnic.cn,14,0,5,0,81,3,84,0.9642857140000001,4,1
http://www.duowan.com,16,0,5,0,33,89,122,0.27049180300000003,6,1
http://www.newsmth.net,17,0,5,0,12,2,14,0.857142857,3,0
http://www.jiwu.com,14,0,5,0,20,2,22,0.9090909090000001,5,2
http://www.acfun.cn,14,0,5,0,21,65,86,0.244186047,6,1
http://www.a9vg.com,13,1,5,0,109,22,131,0.8320610690000001,4,0
http://www.17173.com,10,5,5,0,8,144,152,0.052631579000000005,7,2
http://www.mtime.com,15,0,5,0,17,70,87,0.19540229899999997,9,3
http://www.meituan.com,17,0,5,0,2,30,32,0.0625,3,1
http://www.99114.com,10,5,5,0,74,3,77,0.961038961,3,1
http://www.nipic.com,15,0,5,0,38,29,67,0.5671641789999999,4,0
http://www.pku.edu.cn,15,0,6,0,114,0,114,1.0,1,0
http://www.hujiang.com,17,0,5,0,11,35,46,0.239130435,6,2
http://www.springer.com,18,0,5,0,21,79,100,0.21,47,27
http://jandan.net,13,0,4,0,20,75,95,0.21052631600000002,18,7
http://www.sf-express.com,19,0,6,1,0,0,0,0.0,0,0
http://www.sf-express.com,19,0,6,1,65,3,68,0.955882353,5,3
http://588ku.com,9,3,4,0,54,6,60,0.9,6,3
http://bbs.saraba1st.com,18,1,5,0,6,3,9,0.666666667,3,1
http://www.miaopai.com,17,0,5,0,24,0,24,1.0,1,0
http://www.mafengwo.cn,17,0,5,0,6,70,76,0.078947368,6,1
http://www.onlinedown.net,20,0,5,0,83,34,117,0.7094017090000001,13,6
http://www.360.cn,9,3,5,0,3,149,152,0.019736842,4,0
http://www.xdf.cn,12,0,5,0,178,22,200,0.89,13,7
http://www.mafengwo.cn,17,0,5,0,6,66,72,0.083333333,4,0
http://www.alimama.com,17,0,5,0,0,98,98,0.0,4,0
http://www.3158.cn,9,4,5,0,304,1,305,0.9967213109999999,2,1
http://www.hjenglish.com,19,0,5,0,2,103,105,0.019047619,5,2
http://www.cncn.org.cn,16,0,6,0,103,1,104,0.990384615,2,1
http://www.tudou.com,15,0,5,0,15,152,167,0.089820359,10,3
http://www.qidian.com,16,0,5,0,18,66,84,0.214285714,5,0
http://www.imooc.com,15,0,5,0,30,49,79,0.379746835,4,1
http://www.fudan.edu.cn,17,0,6,0,91,19,110,0.827272727,2,0
http://www.2345.com,10,4,5,0,57,100,157,0.363057325,9,1
http://www.doc88.com,13,2,5,0,130,8,138,0.942028986,2,0
http://nanjing.fang.com,18,0,5,0,2,73,75,0.026666667,4,1
http://nanjing.fang.com,18,0,5,0,16,149,165,0.096969697,4,0
http://www.ea3w.com,13,1,5,0,205,6,211,0.971563981,2,0
http://www.iyiou.com,15,0,5,0,87,8,95,0.9157894740000001,10,6
http://www.sznews.com,16,0,5,0,383,3,386,0.992227979,4,2
http://www.pconline.com.cn,20,0,6,0,63,8,71,0.887323944,6,3
http://www.qyer.com,14,0,5,0,12,13,25,0.48,2,0
http://www.guancha.cn,16,0,5,0,205,7,212,0.966981132,7,3
http://www.ctfile.com,16,0,5,0,23,1,24,0.958333333,3,1
http://ww.xitek.com,14,0,5,0,210,33,243,0.864197531,5,0
http://www.liepin.com,16,0,5,0,12,95,107,0.11214953300000001,3,0
http://www.zhiding.cn,16,0,5,0,100,3,103,0.970873786,6,4
http://www.autotimes.com.cn,21,0,6,0,144,4,148,0.972972973,5,2
http://www.58pic.com,13,2,5,0,7,41,48,0.145833333,9,4
http://www.81.cn,9,2,5,0,170,20,190,0.894736842,6,1
http://www.suning.com,16,0,5,0,12,46,58,0.20689655199999998,8,4
http://www.yinxiang.com,18,0,5,0,13,2,15,0.8666666670000001,7,2
http://www.renren.com,16,0,5,0,9,38,47,0.191489362,7,3
http://www.yinyuetai.com,19,0,5,0,255,53,308,0.827922078,11,6
http://www.miercn.com,16,0,5,0,36,178,214,0.168224299,12,4
http://www.eastmoney.com,19,0,5,0,47,72,119,0.39495798299999996,6,2
http://www.yesky.com,15,0,5,0,59,53,112,0.526785714,8,2
http://www.ih5.cn,11,1,5,0,48,5,53,0.905660377,7,4
http://www.lofter.com,16,0,5,0,6,51,57,0.10526315800000001,10,1
http://cd.haofang.net,16,0,5,0,35,23,58,0.6034482760000001,14,7
http://www.oa.com,12,0,5,0,7,1,8,0.875,2,0
http://www.ximalaya.com,18,0,5,0,5,155,160,0.03125,3,0
http://www.pcbaby.com.cn,18,0,6,0,66,31,97,0.680412371,5,2
http://www.51job.com,13,2,5,0,1,65,66,0.015151515,2,1
http://bj.lianjia.com,16,0,5,0,11,61,72,0.152777778,8,2
