rank,link,zimu_num,shuzi,zifu_num,url_T_zifu_num,inner,out,sum,bili,
85,http://www.mydrivers.com,19,0,5,0,2725,3780,6505,0.418908532,
86,http://www.ali213.net,13,3,5,0,9583,3053,12636,0.758388731,
87,http://www.feng.com,14,0,5,0,5181,288,5469,0.94733955,
88,http://www.mi.com,12,0,5,0,365,4014,4379,0.083352364,
89,http://www.tencent.com,17,0,5,0,2025,375,2400,0.84375,
90,http://www.chiphell.com,18,0,5,0,10336,988,11324,0.912751678,
91,http://www.mozilla.org,17,0,5,0,,,,,
92,http://www.4399.com,10,4,5,0,1401,6004,7405,0.189196489,
93,http://www.cnki.net,14,0,5,0,4582,553,5135,0.892307692,
94,http://www.zhibo8.cc,14,1,5,0,891,35235,36126,0.024663677,
95,http://www.jmw.com.cn,15,0,6,0,7864,5002,12866,0.611223379,
96,http://www.51.la,9,2,5,0,2406,1245,3651,0.658997535,
97,http://www.51cto.com,13,2,5,0,10667,2100,12767,0.835513433,
98,http://www.firefoxchina.cn,21,0,5,0,4845,5100,9945,0.487179487,
99,http://www.weibo.cn,14,0,5,0,0,601,601,0,
100,http://www.52pojie.cn,14,2,5,0,3480,2784,6264,0.555555556,
101,http://www.dangdang.com,18,0,5,0,2022,3864,5886,0.343527013,11
102,http://www.chsi.com.cn,16,0,6,0,1957,1068,3025,0.646942149,11
103,http://www.ctrip.com,15,0,5,0,90,0,90,1,
104,http://www.w3school.com.cn,19,1,6,0,1273,1727,3000,0.424333333,
105,http://www.familydoctor.com.cn,24,0,6,0,25568,4140,29708,0.860643598,
106,http://www.bzw315.com,13,3,5,0,6973,744,7717,0.903589478,
107,http://www.autohome.com.cn,20,0,6,0,6862,20304,27166,0.252595156,
108,http://www.ithome.com,16,0,5,0,,,,,
109,http://www.qj.com.cn,14,0,6,0,,,,,
110,http://www.yxdown.com,16,0,5,0,,,,,
111,http://www.umeng.com,15,0,5,0,,,,,
112,http://www.vmall.com,15,0,5,0,,,,,
113,http://www.pptv.com,14,0,5,0,,,,,
114,http://www.jjwxc.net,15,0,5,0,,,,,
115,http://www.anjuke.com,16,0,5,0,,,,,
116,http://www.boc.cn,12,0,5,0,,,,,
117,http://www.it168.com,12,3,5,0,,,,,
118,http://www.sina.cn,13,0,5,0,,,,,
119,http://www.xunlei.com,16,0,5,0,,,,,
120,http://www.hexun.com,15,0,5,0,,,,,
121,http://www.114la.com,12,3,5,0,,,,,
122,http://www.shimo.im,14,0,5,0,,,,,
123,http://www.qihoo.com,15,0,5,0,,,,,
124,http://www.pc6.com,12,1,5,0,,,,,
125,http://www.dmzj.com,14,0,5,0,,,,,
126,http://www.sjtu.edu.cn,16,0,6,0,,,,,
127,http://www.miui.com,14,0,5,0,,,,,
128,http://www.36kr.com,12,2,5,0,,,,,
129,http://www.focus.cn,14,0,5,0,,,,,
130,http://www.docin.com,15,0,5,0,,,,,
131,http://www.cnnic.cn,14,0,5,0,,,,,
132,http://www.duowan.com,16,0,5,0,,,,,
133,http://www.newsmth.net,17,0,5,0,,,,,
134,http://www.jiwu.com,14,0,5,0,,,,,
135,http://www.acfun.cn,14,0,5,0,,,,,
136,http://www.a9vg.com,13,1,5,0,,,,,
137,http://www.17173.com,10,5,5,0,,,,,
138,http://www.mtime.com,15,0,5,0,,,,,
139,http://www.meituan.com,17,0,5,0,,,,,
140,http://www.99114.com,10,5,5,0,,,,,
141,http://www.nipic.com,15,0,5,0,,,,,
142,http://www.pku.edu.cn,15,0,6,0,,,,,
143,http://www.hujiang.com,17,0,5,0,,,,,
144,http://www.springer.com,18,0,5,0,,,,,
145,http://www.jandan.net,16,0,5,0,,,,,
146,http://www.sf-express.com,19,0,6,1,,,,,
147,http://www.588ku.com,12,3,5,0,,,,,
148,http://www.saraba1st.com,18,1,5,0,,,,,
149,http://www.miaopai.com,17,0,5,0,,,,,
150,http://www.onlinedown.net,20,0,5,0,,,,,
151,http://www.360.com,10,3,5,0,,,,,
152,http://www.xdf.cn,12,0,5,0,,,,,
153,http://www.mafengwo.cn,17,0,5,0,,,,,
154,http://www.alimama.com,17,0,5,0,,,,,
155,http://www.3158.cn,9,4,5,0,,,,,
156,http://www.hjenglish.com,19,0,5,0,,,,,
157,http://www.cncn.org.cn,16,0,6,0,,,,,
158,http://www.tudou.com,15,0,5,0,,,,,
159,http://www.tgbus.com,15,0,5,0,,,,,
160,http://www.qidian.com,16,0,5,0,,,,,
161,http://www.imooc.com,15,0,5,0,,,,,
162,http://www.fudan.edu.cn,17,0,6,0,,,,,
163,http://www.2345.com,10,4,5,0,,,,,
164,http://www.doc88.com,13,2,5,0,,,,,
165,http://www.fang.com,14,0,5,0,,,,,
166,http://www.ea3w.com,13,1,5,0,,,,,
167,http://www.iyiou.com,15,0,5,0,,,,,
168,http://www.sznews.com,16,0,5,0,,,,,
169,http://www.pconline.com.cn,20,0,6,0,,,,,
170,http://www.qyer.com,14,0,5,0,,,,,
171,http://www.guancha.cn,16,0,5,0,,,,,
172,http://www.ctfile.com,16,0,5,0,,,,,
173,http://www.xitek.com,15,0,5,0,,,,,
174,http://www.liepin.com,16,0,5,0,,,,,
175,http://www.zhiding.cn,16,0,5,0,,,,,
176,http://www.autotimes.com.cn,21,0,6,0,,,,,
177,http://www.58pic.com,13,2,5,0,,,,,
178,http://www.81.cn,9,2,5,0,,,,,
179,http://www.suning.com,16,0,5,0,,,,,
180,http://www.yinxiang.com,18,0,5,0,,,,,
181,http://www.renren.com,16,0,5,0,,,,,
182,http://www.yinyuetai.com,19,0,5,0,,,,,
183,http://www.miercn.com,16,0,5,0,,,,,
184,http://www.eastmoney.com,19,0,5,0,,,,,
185,http://www.yesky.com,15,0,5,0,,,,,
186,http://www.ih5.cn,11,1,5,0,,,,,
187,http://www.lofter.com,16,0,5,0,,,,,
188,http://www.haofang.net,17,0,5,0,,,,,
189,http://www.oa.com,12,0,5,0,,,,,
190,http://www.ximalaya.com,18,0,5,0,,,,,
191,http://www.pcbaby.com.cn,18,0,6,0,,,,,
192,http://www.51job.com,13,2,5,0,,,,,
193,http://www.lianjia.com,17,0,5,0,,,,,
194,http://www.efu.com.cn,15,0,6,0,,,,,
195,http://www.sinaimg.cn,16,0,5,0,,,,,
196,http://www.southcn.com,17,0,5,0,,,,,
197,http://www.sspai.com,15,0,5,0,,,,,
198,http://www.17track.net,15,2,5,0,,,,,
199,http://www.to8to.com,14,1,5,0,,,,,
200,http://www.hao245.com,13,3,5,0,,,,,
201,http://www.cctv.com,14,0,5,0,,,,,
202,http://www.kugou.com,15,0,5,0,,,,,
203,http://www.gov.cn,15,0,6,0,,,,,
204,http://www.fobshanghai.com,21,0,5,0,,,,,
205,http://www.huxiu.com,15,0,5,0,,,,,
206,http://www.ooopic.com,16,0,5,0,,,,,
207,http://www.xiaomi.com,16,0,5,0,,,,,
208,http://www.sciencenet.cn,19,0,5,0,,,,,
209,http://www.cr173.com,12,3,5,0,,,,,
210,http://www.thepaper.cn,17,0,5,0,,,,,
211,http://www.baiducontent.com,22,0,5,0,,,,,
212,http://www.cpic.com.cn,16,0,6,0,,,,,
213,http://www.jstv.com,14,0,5,0,,,,,
214,http://www.panduoduo.net,19,0,5,0,,,,,
215,http://www.guokr.com,15,0,5,0,,,,,
216,http://www.bytedance.net,19,0,5,0,,,,,
217,http://www.gusuwang.com,18,0,5,0,,,,,
218,http://www.cyol.com,14,0,5,0,,,,,
219,http://www.cmbchina.com,18,0,5,0,,,,,
220,http://www.photofans.cn,18,0,5,0,,,,,
221,http://www.ceconline.com,19,0,5,0,,,,,
222,http://www.aizhan.com,16,0,5,0,,,,,
223,http://www.dilidili.wang,19,0,5,0,,,,,
224,http://www.battlenet.com.cn,21,0,6,0,,,,,
225,http://www.weather.com.cn,19,0,6,0,,,,,
226,http://www.steamcn.com,17,0,5,0,,,,,
227,http://www.liansuo.com,17,0,5,0,,,,,
228,http://www.kdslife.com,17,0,5,0,,,,,
229,http://www.gfan.com,14,0,5,0,,,,,
230,http://www.mydigit.cn,16,0,5,0,,,,,
231,http://www.pinggu.org,16,0,5,0,,,,,
232,http://www.ifanr.com,15,0,5,0,,,,,
233,http://www.wanfangdata.com.cn,23,0,6,0,,,,,
234,http://www.cn163.net,12,3,5,0,,,,,
235,http://www.coursera.org,18,0,5,0,,,,,
236,http://www.12306.cn,9,5,5,0,,,,,
237,http://www.zhcw.com,14,0,5,0,,,,,
238,http://www.iciba.com,15,0,5,0,,,,,
239,http://www.sonhoo.com,16,0,5,0,,,,,
240,http://www.ip138.com,12,3,5,0,,,,,
241,http://www.ip138.com,12,3,5,0,,,,,
242,http://www.wallstreetcn.com,22,0,5,0,,,,,
243,http://www.house365.com,15,3,5,0,,,,,
244,http://www.tuniu.com,15,0,5,0,,,,,
245,http://www.winshang.com,18,0,5,0,,,,,
246,http://www.10010.com,10,5,5,0,,,,,
247,http://www.evolife.cn,16,0,5,0,,,,,
248,http://www.qunar.com,15,0,5,0,,,,,
249,http://www.xiaomi.cn,15,0,5,0,,,,,
250,http://www.xiachufang.com,20,0,5,0,,,,,
251,http://www.csair.com,15,0,5,0,,,,,
252,http://www.gongchang.com,19,0,5,0,,,,,
253,http://www.dxy.cn,12,0,5,0,,,,,
254,http://www.qcloud.com,16,0,5,0,,,,,
255,http://www.weiyun.com,16,0,5,0,,,,,
256,http://www.ccb.com,13,0,5,0,,,,,
257,http://www.chengdu.cn,16,0,5,0,,,,,
258,http://www.qichacha.com,18,0,5,0,,,,,
259,http://www.ems.com.cn,15,0,6,0,,,,,
260,http://www.banma.com,15,0,5,0,,,,,
261,http://www.youzan.com,16,0,5,0,,,,,
262,http://www.zju.edu.cn,15,0,6,0,,,,,
263,http://www.10086.cn,9,5,5,0,,,,,
264,http://www.189.cn,9,3,5,0,,,,,
265,http://www.yiwugou.com,17,0,5,0,,,,,
266,http://www.52pk.com,12,2,5,0,,,,,
267,http://www.dv37.com,12,2,5,0,,,,,
268,http://www.dapenti.com,17,0,5,0,,,,,
269,http://www.win007.com,13,3,5,0,,,,,
270,http://www.g-fox.cn,13,0,6,1,,,,,
271,http://www.chinanews.com,19,0,5,0,,,,,
272,http://www.vvvdj.com,15,0,5,0,,,,,
273,http://www.dayoo.com,15,0,5,0,,,,,
274,http://www.amap.com,14,0,5,0,,,,,
275,http://www.kuaidi100.com,16,3,5,0,,,,,
276,http://www.xueqiu.com,16,0,5,0,,,,,
277,http://www.lagou.com,15,0,5,0,,,,,
278,http://www.ebrun.com,15,0,5,0,,,,,
279,http://www.dingtalk.com,18,0,5,0,,,,,
280,http://www.cheaa.com,15,0,5,0,,,,,
281,http://www.tower.im,14,0,5,0,,,,,
282,http://www.258.com,10,3,5,0,,,,,
283,http://www.alibaba-inc.com,20,0,6,1,,,,,
284,http://www.iweihai.cn,16,0,5,0,,,,,
285,http://www.liqu.com,14,0,5,0,,,,,
286,http://www.liaoxuefeng.com,21,0,5,0,,,,,
287,http://www.iliangcang.com,20,0,5,0,,,,,
288,http://www.kongfz.com,16,0,5,0,,,,,
289,http://www.11467.com,10,5,5,0,,,,,
290,http://www.babyschool.com.cn,22,0,6,0,,,,,
291,http://www.morningpost.com.cn,23,0,6,0,,,,,
292,http://www.acs.org,13,0,5,0,,,,,
293,http://www.vip.com,13,0,5,0,,,,,
294,http://www.lenovo.com.cn,18,0,6,0,,,,,
295,http://www.btbtdy.com,16,0,5,0,,,,,
296,http://www.uc.cn,11,0,5,0,,,,,
297,http://www.ibm.com,13,0,5,0,,,,,
298,http://www.netease.com,17,0,5,0,,,,,
299,http://www.huijiwiki.com,19,0,5,0,,,,,
300,http://www.ctoutiao.com,18,0,5,0,,,,,
301,http://www.xabbs.com,15,0,5,0,,,,,
302,http://www.pinduoduo.com,19,0,5,0,,,,,
303,http://www.9384.com,10,4,5,0,,,,,
304,http://www.koolearn.com,18,0,5,0,,,,,
305,http://www.sanguosha.com,19,0,5,0,,,,,
306,http://www.jia400.com,13,3,5,0,,,,,
307,http://www.ganji.com,15,0,5,0,,,,,
308,http://www.fliggy.com,16,0,5,0,,,,,
309,http://www.9game.cn,13,1,5,0,,,,,
310,http://www.hc360.com,12,3,5,0,,,,,
311,http://www.stockstar.com,19,0,5,0,,,,,
312,http://www.flyertea.com,18,0,5,0,,,,,
313,http://www.mebook.cc,15,0,5,0,,,,,
314,http://www.ule.com,13,0,5,0,,,,,
315,http://www.dict.cn,13,0,5,0,,,,,
316,http://www.cntv.cn,13,0,5,0,,,,,
317,http://www.right.com.cn,17,0,6,0,,,,,
318,http://www.china.cn,14,0,5,0,,,,,
319,http://www.iconfont.cn,17,0,5,0,,,,,
320,http://www.51credit.com,16,2,5,0,,,,,
321,http://www.tsinghua.edu.cn,20,0,6,0,,,,,
322,http://www.appinn.com,16,0,5,0,,,,,
323,http://www.hrloo.com,15,0,5,0,,,,,
324,http://www.6vhao.tv,13,1,5,0,,,,,
325,http://www.taptap.com,16,0,5,0,,,,,
326,http://www.kuwo.cn,13,0,5,0,,,,,
327,http://www.jiayuan.com,17,0,5,0,,,,,
328,http://www.feiren.com,16,0,5,0,,,,,
329,http://www.zxxk.com,14,0,5,0,,,,,
330,http://www.juejin.im,15,0,5,0,,,,,
331,http://www.cifnews.com,17,0,5,0,,,,,
332,http://www.linkhaitao.com,20,0,5,0,,,,,
333,http://www.g-cores.com,16,0,6,1,,,,,
334,http://www.gaoqing.la,16,0,5,0,,,,,
335,http://www.tmtpost.com,17,0,5,0,,,,,
